Prospect Type,Gatekeeper / Organization,Decision Maker / Role,Category,Institution / Community,Geography,Approx. Reachable Group Size,Best Contact,Contact Type,Contact URL,Official / Community Page,Why Members Fit Talysman,Recommended Pilot Pitch,Suggested First CTA,Accessibility Score (1-10),Audience Fit Score (1-10),Pilot Value Score (1-10),Source URL,Verification Date,Outreach Status,Notes
Initial User Gatekeeper,HackPrix Season 3,,Hackathon Organizer,Major League Hacking member event,"Hyderabad, Telangana, IN",,Organizer contact / partnership route on event website,Website / contact form,https://s3.hackprix.tech,https://s3.hackprix.tech,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,JAMHacks 10,,Hackathon Organizer,Major League Hacking member event,"Waterloo, Ontario, CA",,Organizer contact / partnership route on event website,Website / contact form,https://jamhacks.ca,https://jamhacks.ca,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Global Hack Week: Hacking for Good,,Hackathon Organizer,Major League Hacking member event,Worldwide,,Organizer contact / partnership route on event website,Website / contact form,https://events.mlh.io,https://events.mlh.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hack4Her,,Hackathon Organizer,Major League Hacking member event,"Monterrey, Nuevo Leon, MX",,Organizer contact / partnership route on event website,Website / contact form,https://www.hack4her.com,https://www.hack4her.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,MPC Hacks,,Hackathon Organizer,Major League Hacking member event,"Montreal, Quebec, CA",,Organizer contact / partnership route on event website,Website / contact form,https://mpchacks.com,https://mpchacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Quackhacks 3,,Hackathon Organizer,Major League Hacking member event,"Eugene, Oregon, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.quackhacks.org,https://www.quackhacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackHCC,,Hackathon Organizer,Major League Hacking member event,"Houston, TX, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackhcc.org,https://hackhcc.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,DesignVerse,,Hackathon Organizer,Major League Hacking member event,"Riverside, California, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.designverseucr.org,https://www.designverseucr.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Midnight Hackathon,,Hackathon Organizer,Major League Hacking member event,Worldwide,,Organizer contact / partnership route on event website,Website / contact form,https://events.mlh.io,https://events.mlh.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,KentHackIt,,Hackathon Organizer,Major League Hacking member event,"Canterbury, Kent, GB",,Organizer contact / partnership route on event website,Website / contact form,https://www.kenthackit.co.uk,https://www.kenthackit.co.uk,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
