Prospect Type,Name / Channel,Category,Best Contact,Contact Type,Contact URL,Relevant Content / Fit Link,Affiliate Fit Score (1-10),Audience Size,Why Talysman Fits,Suggested Outreach Angle,Source URL,Verification Date,Outreach Status,Notes,Gatekeeper / Organization,Decision Maker / Role,Institution / Community,Geography,Approx. Reachable Group Size,Official / Community Page,Why Members Fit Talysman,Recommended Pilot Pitch,Suggested First CTA,Accessibility Score (1-10),Audience Fit Score (1-10),Pilot Value Score (1-10)
Affiliate,How to ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=How+to+ADHD,https://www.youtube.com/results?search_query=How+to+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Love,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Love,https://www.youtube.com/results?search_query=ADHD+Love+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHDVision,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHDVision,https://www.youtube.com/results?search_query=ADHDVision+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Hayley Honeyman,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Hayley+Honeyman,https://www.youtube.com/results?search_query=Hayley+Honeyman+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Toren Wolf,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Toren+Wolf,https://www.youtube.com/results?search_query=Toren+Wolf+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Chatter Podcast,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Chatter+Podcast,https://www.youtube.com/results?search_query=ADHD+Chatter+Podcast+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Ally Hardesty,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Ally+Hardesty,https://www.youtube.com/results?search_query=Ally+Hardesty+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Dr. LeGrand,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Dr.+LeGrand,https://www.youtube.com/results?search_query=Dr.+LeGrand+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,"Russell Barkley, PhD - Dedicated to ADHD Science+",ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Russell+Barkley%2C+PhD+-+Dedicated+to+ADHD+Science%2B,https://www.youtube.com/results?search_query=Russell+Barkley%2C+PhD+-+Dedicated+to+ADHD+Science%2B+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Caren Magill | ADHD + Multipotentialites,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Caren+Magill+%7C+ADHD+%2B+Multipotentialites,https://www.youtube.com/results?search_query=Caren+Magill+%7C+ADHD+%2B+Multipotentialites+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Sasha Hamdani MD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Sasha+Hamdani+MD,https://www.youtube.com/results?search_query=Sasha+Hamdani+MD+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Dude,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Dude,https://www.youtube.com/results?search_query=ADHD+Dude+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
